ID,CONDITION,code,gender,start,end,feel.pre,sam.pre.h,sam.pre.ar,happy.post,persp,limits,compr1,persp2,compr3,vivid,image,p.future,certainty,post.f.hap,post.f.ar,cheat,cheat_TEXT,live.us,eng.native,fq1,fq2,fq3,fq4,compr,distance,issue,persp.r,others.perspective,persp2.r,WC,WPS,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,flexible_n,post.mood,she.vs.i,mood.change,not.live.us,age,uncertainty,limits.all,WISDOM
1,3,3,-1,1/23/2012 10:20:19,1/23/2012 10:38:49,1,4,8,2,6,5,2,2,5,2,4, ,6,1,3,2,An ex girlfriend of mine had sex with a good friend soon after we broke up.,21,1,30 min,The program was opened in Firefox and the sound didn't work.,-,How romantic relationships can affect mood and thoughts.,3.5,-.5,.5,2,2,2,85,21.25,14.12,8.24,3.53,0,0,3.53,1.18,5.88,7.06,10.59,9.41,4,2,0,2,1,22,2,3.5,-.275893947599795
6,4,4,-1,1/23/2012 11:08:40,1/23/2012 11:30:27,1,3,2,2,2,6,3,5,4,5,4, ,6,2,2,2,I've had one of my girlfriends cheat on me,18,1,It was an interesting study that really made me think about my feelings.,No there were no difficulties.,No I did not.,Trying to understand how people view different aspects of romantic relationships.,3.5,.5,.5,6,5.5,2,134,26.8,21.64,16.42,1.49,0,0,14.93,0,5.22,3.73,14.93,8.96,3,2.5,13.44,.5,1,19,2,4,.429492126394816
8,4,4,-1,1/23/2012 16:07:40,1/23/2012 16:29:47,1,4,8,3,4,7,5,3,5,6,2, ,6,3,2,1, ,20,1,Good.,No.,No.,The effect that a negative story or thought might have on a person.,5,.5,.5,4,3.5,4,23,23,8.7,4.35,4.35,0,0,0,0,4.35,8.7,17.39,13.04,1,4,-4.35,0,1,21,2,4.5,-.0278587402380918
9,4,4,-1,1/23/2012 16:17:16,1/23/2012 16:33:17,1,3,8,2,2,7,3,5,2,3,4, ,5,3,2,1, ,19,1,"It was fine, although sometimes I felt a little confused about what perspective I was taking when they were giving the instructions.",See above,"No, everything was normal to me.",Probably figuring out how people make decisions when they put themselves in different perspectives.,2.5,.5,.5,6,5.5,6,164,27.33,14.63,8.54,6.1,0,0,2.44,0,6.1,6.71,16.46,9.76,3,2.5,-3.66,.5,1,20,3,5,.532714998401821
10,2,2,-1,1/23/2012 16:24:43,1/23/2012 16:37:07,1,4,2,2,2,6,4,6,5,2,5, ,7,4,4,1, ,19,1,Very straightforward and easy to complete,nope,nope,"how we think, feel, and react to situations such as an unfaithful partner in a romantic relationship",4.5,.5,-.5,6,6,7,81,16.2,14.81,6.17,6.17,0,0,0,0,8.64,11.11,16.05,12.35,3,2.5,-6.17,1.5,1,20,1,3.5,.622997932065319
12,2,2,-1,1/24/2012 14:34:07,1/24/2012 14:46:53,1,4,2,1,4,1,2,1,3,3,4, ,6,2,4,2,"Wasn't sex, but still was cheating. 2-3 years ago",19,1,It was good. Wasn't ncessarily bringing up a scenario people don't think about already.,"Use internet explorer, not firefox.",The headset.,How people would react to a certain thing in a relationship.,2.5,.5,-.5,4,2.5,3,11,3.67,18.18,0,0,0,0,0,0,18.18,9.09,27.27,18.18,1,1.5,0,2.5,1,20,2,1.5,-1.99578128678817
14,3,3,-1,1/24/2012 14:31:49,1/24/2012 14:46:06,1,4,3,3,7,6,2,1,3,6,2, ,6,3,3,2,My first girlfriend cheated on me.,18,1,It was my first and I found it quite interesting to be a part of.,No,No,"How one would handle a stressful situation in a relationship, specifically if a signficant other cheated.",2.5,-.5,.5,1,1,5,29,14.5,24.14,10.34,6.9,0,0,3.45,0,13.79,10.34,17.24,10.34,2,3,-3.45,1,1,19,2,4,-1.15146990091441
18,2,2,-1,1/24/2012 15:09:01,1/24/2012 15:30:18,1,4,2,2,5,7,2,5,2,5,1, ,6,2,4,1, ,18,1,It was difficult to imagine this event happening because I am so close with my partner. Imagining losing her was very difficult and something that I did not enjoy.,no,no,reasoning for maintaining or ending a relationship,2,.5,-.5,3,4,5,160,22.86,23.75,18.12,10,1.88,0,6.25,0,5.62,3.12,20.62,11.25,1,2.5,-3.75,1.5,1,19,2,4.5,-.691201068593799
21,2,2,-1,1/24/2012 15:23:33,1/24/2012 15:37:49,1,3,8,3,3,6,3,3,2,3,4, ,5,3,3,1, ,18,1,This study was straight forward,The audio part was kind of unclear. Perhaps they should have clarified exactly what was meant by 1st person and what was meant by 3rd person,Not really,The relationship between the way one feels about themselves and the way they feel about their romantic relationship.,2.5,.5,-.5,5,4,4,13,13,23.08,7.69,7.69,0,0,0,0,15.38,7.69,7.69,7.69,3,3,-7.69,0,1,19,3,4.5,.0053117145276495
25,4,4,-1,1/24/2012 16:26:36,1/24/2012 16:41:01,1,4,2,3,3,5,2,5,4,2,5, ,6,3,3,1, ,21,1,This study was well-designed with very straightforward questions.,I don't believe there were.,No.,Relationships/emotions regarding intimate relationships.,3,.5,.5,5,5,3,129,25.8,19.38,12.4,6.98,0,0,1.55,3.88,6.98,6.2,16.28,10.85,4,3,-5.43,1,1,22,2,3.5,.286349932414523
