V1,Country,Happiness,GDP,Support,Life,Freedom,Generosity,Corruption,World
1,Albania,4.606650829,9.25146389,0.467428858227895,68.43516541,0.703850687,-0.082337685,0.884793043,2
3,Armenia,4.34831953,8.968935966,0.0132541199903027,65.30075836,0.551026642,-0.186696529,0.901462197,2
4,Australia,7.309060574,10.68032646,0.686396808234114,72.5602417,0.921871006,0.315701962,0.356554389,1
5,Austria,7.07644701,10.6913538,0.0858318087087241,70.82255554,0.900305152,0.089088559,0.55747962,1
6,Azerbaijan,5.146774769,9.730903625,0.72357647251822,61.97584534,0.764289498,-0.222635135,0.615552545,2
8,Bangladesh,4.633473873,8.050835609,0.451194086486221,61.72731018,0.814796269,-0.059777591,0.720600903,3
9,Belarus,5.718907833,9.725567818,0.409610360564021,65.31598663,0.622753441,-0.10090296,0.668678164,2
10,Belgium,6.904219151,10.62617779,0.765580551870383,71.3420105,0.869474947,0.052451991,0.46878463,1
11,Benin,3.624664307,7.598664761,0.92066190625949,50.58654404,0.733383596,0.0015025939999999999,0.850098193,3
12,Bhutan,5.082128525,8.96965313,0.748032175675797,60.61640549,0.83010155,0.285040438,0.633955777,3
13,Bolivia,5.834329128,8.778190613,0.829801953999294,59.73696899,0.88362509,-0.023433717,0.862373948,4
14,Bosnia and Herzegovina,5.117177963,9.1783638,0.0672587286594248,67.63831329,0.630698025,-0.046468392,0.959853649,2
15,Botswana,3.761964798,9.654462814,0.92193232053436,55.25416946,0.857168913,-0.126697809,0.860292971,4
16,Brazil,6.546896935,9.582796097,0.759484171797664,64.59515381,0.798935294,-0.027783971,0.771339059,4
17,Burkina Faso,4.418930054,7.357180119,0.659787538594523,50.83040237,0.659102738,0.020786475,0.692723989,3
18,Cambodia,4.162164688,8.0946455,0.304756195444703,58.16891479,0.956319809,0.212208703,0.825130224,3
19,Cameroon,5.037964821,7.986923695,0.680610941193151,47.95747757,0.791428566,0.058221977,0.868049026,4
20,Canada,7.412772655,10.66470814,0.759993916454056,71.76052856,0.931468964,0.237486422,0.427152246,1
