"sub","IP_CA23DG","Pre_CA23DG","IP_CA1","Pre_CA1","IP_PPA","Pre_PPA","IP_EVC","Pre_EVC"
1,-0.013149398,0.001115951,-0.005279158,-0.025641371,-0.014936044,-0.01136036,0.015487881,0.01179358
2,-0.020447282,0.001055906,-0.001127203,-0.020090862,0.003977319,-0.003808112,0.008168629,0.008354499
3,-0.01296644,0.006930768,-0.017563482,-0.001489621,0.016220095,0.002963979,0.014346848,-0.004086195
4,0.016719833,-0.034760717,0.002335853,0.02264975,-0.001764103,-0.021575995,0.030453078,-0.009435268
5,-0.027675514,-0.012871935,-0.006845929,0.007433149,-0.022655517,-0.003019863,-0.011879909,0.01894746
6,-0.026451289,-0.01724506,-0.00522074,-0.024073251,-0.000708511,-0.007667369,-0.006462344,0.034317272
7,-0.017669209,0.004526685,0.028354228,-0.007580694,0.006516141,0.002737025,0.014605637,0.011616378
8,-0.017573401,-0.015545495,-0.009638907,-0.00371112,0.001175455,0.024736582,0.015022038,-0.012693527
9,0.003244464,0.011593701,-0.002560999,0.026244049,-0.009399867,0.022475568,0.066819295,-0.037573212
10,-0.051525193,-0.000955,-0.032051953,-0.021766621,-0.001860429,0.008757646,-0.004968375,0.013517141
11,-0.02377032,-0.033848157,-0.036857053,-0.026323152,-0.016819769,0.020351623,-0.008232659,0.010755385
12,-0.006685179,0.00699058,-0.006376119,0.00038,-0.009441699,0.004392794,-0.002450098,0.010243633
13,0.004899955,0.021653817,-0.021917649,-0.009032156,0.004964069,-0.016466394,0.010413208,-0.008371374
14,0.014434493,-0.002883755,-0.008843062,-0.005838933,-0.001380683,-0.001714405,-0.012471781,0.016451885
15,0.041443854,-0.016450535,0.010673457,-0.001438381,-0.0036714,0.021400571,0.040767754,0.000385
16,0.001447419,0.007240952,0.005082531,-0.012534715,0.006104375,0.002968018,0.029210504,0.027198326
17,-0.036768092,0.057933595,-0.017214757,0.063122809,-0.010894637,0.018904293,0.009581868,0.009627386
18,0.004950297,0.012344184,0.032284732,0.006962735,-0.015704106,0.022715267,-0.002250098,-0.036735885
19,-0.0087257,0.015230178,0.01541558,-0.026135362,-0.019505265,0.017065678,0.037501859,-0.000183
20,-0.011908855,0.003669283,0.003660344,0.057904926,0.012476334,0.014003859,0.026709058,-0.003924135
21,0.004787897,0.02822423,-0.014074508,0.023968748,0.024395961,0.004845973,0.009280118,0.00603614
22,-0.027096751,0.00273781,-0.000592,-0.021228816,-0.01084134,0.006490325,-0.021620051,-0.027998805
23,0.012884293,-0.003634844,0.023793298,0.010583918,0.023802422,0.00457984,0.006064284,0.001038746
24,-0.02580229,0.033087575,0.034229713,0.006820226,0.010093711,0.012483863,0.018285234,-0.001246826
25,-0.005407049,-0.003967916,0.000462,0.016305172,0.010623457,-0.00447225,0.012618119,0.021843813
26,0.022456777,0.000929,0.015687604,1.1e-05,0.0212453,0.020838752,0.042804777,0.067405164
27,0.006349937,0.001613948,0.011577845,0.029551171,-0.013281903,0.006529905,0.004924478,0.016237235
28,-0.040067799,0.018523285,0.008581195,-0.012271668,-0.003081136,0.034942328,0.004640798,-0.024106733
29,-0.009035061,0.011850143,-0.003867655,0.008896282,0.008410186,0.016168295,-0.020055418,-0.017240956
30,-0.011910215,-0.019862991,-0.025940712,0.039537885,0.00610164,-0.002596369,0.01624456,-0.020622301
31,0.001065905,0.030272684,-0.009365455,-0.018030409,-0.018892547,0.009387138,-0.002174655,0.030617624
