"Household_Income","Social_Circle_Mean_Income","Population_Mean_Income","Social_Circle_Inequality_Gini_Index","Population_Inequality_Gini_Index","Fairness_Satisfaction","Support_Redistribution","Political_Preference"
NA,21150,29715,28.0567375886525,38.7829379101464,1,5.5,5
20,65355,123630,24.3233876520542,37.2145110410095,3.5,3.25,5
100,107100,60000,14.4425770308123,20.75,5,3.75,5
150,86640,59355,26.9259002770083,35.3795804902704,7,2.75,8
500,56850,15360,21.401055408971,16.875,4.5,3,5
600,59835,57600,37.0882426673352,40.9244791666667,2.5,3.75,3
600,61395,80745,23.6694356217933,35.7271038454393,3,4.25,4
600,52500,79515,7.14285714285707,36.5702697604226,4.5,3.5,3
600,35850,39885,49.3891213389121,44.7781120722076,4,3.75,2
680,61770,58650,30.9116075764935,31.7237851662404,4.5,3.5,3
1000,103725,46860,35.4034707158351,51.4852752880922,4.5,4.75,NA
1000,18975,14205,21.7667984189723,14.2629355860612,4.5,3,4
1100,17610,29415,26.4480408858603,32.3350331463539,1,5.25,5
1200,22800,58275,29.5,47.7078507078507,3,5.25,3
1400,82110,61365,25.5443916697114,26.7780493766805,2.5,4,5
1600,60150,44790,46.8279301745636,42.2618888144675,2,3.5,3
2000,52500,32370,33.2714285714286,25.4652455977757,5,3.5,9
3800,45975,46950,30.2039151712887,18.111821086262,5,3,5
4000,40470,65970,33.1297257227576,34.7098681218736,2,5,2
4000,43500,40200,20.5379310344828,19.4477611940298,3,3.75,7
4200,44850,74745,38.6588628762542,20.6921533212924,9,2.25,8
5000,44940,43485,30.8291054739653,36.20041393584,4.5,4,5
5000,60225,47175,33.0323785803238,33.0158982511924,6,2.5,5
5299.99,48000,49890,12.3125,19.3998797354179,3,5.25,3
5583,84825,77460,17.7922192749779,34.1440743609605,3,4.5,5
6000,52560,51690,40.5964611872146,51.5130586186883,1,5,5
6000,101820,75405,36.7595757218621,33.4945295404814,1,2,6
6000,76095,71130,23.341021092056,27.1851539434838,5,2.75,7
6000,32895,61785,30.7838577291382,35.1238164603059,1.5,4.25,3
7500,25800,53175,32.406976744186,35.8293370944993,1,4.5,3
9000,29595,58650,18.5600608210846,48.2097186700767,6,2.75,7
9000,18120,25440,27.6688741721854,42.9563679245283,2,3.75,3
9200,22980,47205,25.1187989556136,36.3511280584684,2.5,4.75,5
10000,30750,56970,43.7073170731707,37.1074249605055,1,4.5,2
10100,17745,47250,27.7590870667794,42.5015873015873,3,3.5,2
10500,22050,56415,16.7006802721088,42.4060090401489,1,5.75,2
12000,25545,51840,37.5918966529654,46.8269675925926,3,5,1
12000,36375,40590,43.1237113402062,43.7154471544715,5,2.75,7
12000,37755,42435,39.0174811283274,45.4029692470838,1,3.25,5
12000,57060,52050,26.2302839116719,37.5706051873199,1,5.25,2
15000,21150,40635,19.9148936170213,38.7836840162421,5,1.75,8
15000,40425,36615,21.8423005565863,47.2261368291684,3,4.5,3
15000,21300,43740,25.8450704225352,41.9869684499314,1,4.25,5
15000,22425,53550,26.4448160535117,42.4929971988796,1,5.75,1
16000,50970,63315,42.8705120659211,31.5941719971571,4,2.5,9
16000,14100,46650,13.9148936170212,36.491961414791,1,4,5
16000,53550,65895,55.8655462184874,38.8365581607102,1,6,2
17000,52500,39495,61.3571428571429,57.4549943030763,1,6,2
18000,29400,71475,31.1836734693878,32.9181532004197,1,3.75,6
18000,35700,52515,33.7689075630252,38.0231362467866,3,3.5,3
18000,16305,60750,22.0395584176633,34.8074074074074,1,5.75,2
18000,66375,54060,41.3841807909605,36.8895671476138,5,2,8
19000,23700,57270,40.7848101265823,34.1629125196438,2.5,3.5,5
19000,26250,22350,38.2857142857143,22.6040268456376,1,6,5
19000,34620,53250,44.6551126516464,43.169014084507,1,6,2
20000,31245,46875,35.0643302928468,39.8608,4.5,5.25,3
20000,57855,56625,29.6492092299715,31.6569536423841,3,4,6
20000,29190,58200,25.1819116135663,29.2345360824742,3,3,5
20000,17460,54885,17.0103092783505,42.1522273845313,3.5,4,3
20000,40200,54210,25.6492537313433,35.0857775318207,1,5.25,2
20000,76155,107265,41.7898365176285,25.5067822682142,3,3.5,4
20000,47700,88050,20.0754716981132,42.1056218057922,2.5,5,2
21000,40005,48975,28.1466066741657,35.2633996937213,2,3.75,2
21000,40110,66150,24.2819745699327,39.1383219954648,2.5,4.5,3
21000,24480,64515,26.3431372549019,38.3210881190421,7,2.5,8
21000,59220,57000,38.9650455927052,41.8578947368421,2,4,NA
21000,43500,69090,26.8275862068966,29.4211897524967,3,5.5,2
21000,30615,67230,32.3561979421852,42.8049977688532,3.5,4.75,5
22000,24705,45435,31.3339404978749,40.6652360515022,5,4.75,3
22000,71850,44670,22.0062630480167,40.4714573539288,3,3.75,3
23000,56700,48450,47.978835978836,46.8885448916409,1,4.25,4
24000,23400,26220,19.4358974358974,43.0800915331808,1,6,5
24000,24600,49950,37.5060975609756,39.5255255255255,4,2.25,5
24000,30900,46050,27.3398058252427,43.7785016286645,1,6,4
24000,19200,47415,19.671875,39.3416640303701,2,5,5
24000,51960,64725,41.9515011547344,44.4252607184241,3.5,3.75,5
25000,96390,79950,29.5384375972611,33.8348968105066,1,6,3
25000,58440,50775,45.1088295687885,39.2776957163959,1,4.75,1
25000,32400,28650,14.5925925925926,27.1047120418848,3,3,9
25000,30975,55590,21.7699757869249,45.5542363734484,2.5,4.25,4
25000,40875,50250,24.6366972477064,41.6,5,3.25,5
25000,33750,55425,40.8533333333333,40.1231393775372,1,5.25,3
25000,32655,50295,13.4712907671107,47.7241276468834,3,4.75,2
25000,17250,42825,17.2173913043478,36.0788091068301,1,4.5,3
25000,45105,36825,39.1842367808447,29.5091649694501,5.5,5,3
25000,21300,58050,25.0985915492958,49.9457364341085,1,5.25,3
25000,28350,31050,22.4761904761905,16.1739130434783,7,5,5
25000,46200,84900,47.0649350649351,44.7349823321555,4.5,2.75,5
25000,19530,46620,17.0138248847926,40.7252252252252,1.5,4.5,7
26000,25980,41565,27.9284064665127,38.2241068206424,1,5.25,5
26000,25050,43500,27.6766467065868,36.7586206896552,1,4.25,4
26000,90825,49365,16.8761354252683,37.4898207231844,2.5,3.75,4
28000,36000,62925,23.25,45.7723480333731,3,5,3
28000,37860,45240,31.7393026941363,27.289124668435,3,5.25,2
28000,45960,77505,25.0587467362924,31.280627056319,4,3.75,2
28000,33840,44460,43.6719858156028,41.417004048583,1,4.5,4
29000,47805,50565,27.4982742390963,35.8288341738356,4,2.25,5
30000,45690,138645,21.1864740643467,24.9095531753759,1,4.75,1
30000,64200,70770,33.588785046729,33.3370072064434,5.5,1.75,7
30000,65550,81195,12.0022883295194,24.4225013855533,5,2.75,1
30000,69750,78480,16.8924731182796,29.8321865443425,4,3.5,3
30000,45405,64110,35.1096795507103,35.8399625643425,5,3.5,5
30000,34980,45105,8.3156089193825,24.2790156301962,4,4,5
30000,29310,70290,17.4257932446264,20.145966709347,2,4.5,5
30000,55170,35400,40.9825992387167,27.9322033898305,5,5.25,1
30000,78570,59790,41.0488736158839,43.6161565479177,4,3.25,5
30000,39000,58695,19.3076923076923,41.6506516739075,3,4.75,1
30000,59850,48180,31.5288220551378,29.6986301369863,2.5,4.75,5
31000,53100,60945,35.3559322033898,32.6726556731479,4,5,3
32000,67095,78075,26.1634249944109,23.1440922190202,1,4,7
32000,22575,46065,25.0398671096346,26.7694562031911,3.5,5,5
35000,33225,66285,31.0496613995485,40.6777551482236,3,4.75,1
35000,27750,42240,21.5621621621622,33.7230113636364,5,4.25,6
35000,49950,97530,14.2972972972973,29.3005229160258,3.5,4,3
35000,37950,43725,24.6482213438735,38.451114922813,1,6,9
35000,42225,67875,12.854351687389,46.4983425414365,1,5.75,1
35000,25740,49395,22.5839160839161,43.5800182204677,1,5.75,4
35000,43800,77085,32.2020547945205,30.5477719400662,2.5,4.75,1
36000,38400,64185,34.6953125,40.0362234166861,3.5,4,6
37000,94725,58710,32.895486935867,26.7986714358712,8,1,6
37000,75825,73530,36.1829871414441,31.6262749898001,1,4.75,1
37000,40575,40305,33.9500924214418,35.3952363230368,2.5,1.5,9
38000,60450,59130,16.6625310173697,42.7884322678843,3.5,4.75,3
38000,36645,46380,20.2329103561195,32.8014230271669,3,4.75,3
38000,25200,69960,10.7857142857143,56.1749571183533,4,3.75,3
38000,45495,66015,39.4919221892516,36.4278573051579,2,4.25,1
39000,47400,64560,23.2278481012658,29.4516728624535,5,4.5,3
40000,54075,71565,40.3980582524272,30.1548941521693,5,2.75,8
40000,139860,65520,28.5982410982411,43.4097985347985,1,6,2
40000,41580,55395,30.7438672438672,35.9379907933929,1,4.75,4
40000,29475,45600,32.5521628498728,30.9703947368421,1,5,5
40000,43200,66795,28.3229166666667,37.9000673703122,6,3.25,8
40000,40590,112455,17.1855136733186,32.2458316659997,2.5,4.25,1
40000,27690,56925,17.6511375947996,33.798418972332,2,4.75,3
40000,27450,74400,21.8360655737705,42.570564516129,5.5,2.5,6
40000,51345,70950,5.21443178498393,35.9598308668076,2.5,4,7
40000,46050,68295,29.2312703583062,32.3520755545794,5,4.5,3
40000,32250,38175,12.5813953488372,37.8880157170923,5,4.25,9
40000,35850,27180,31.9707112970711,31.0993377483444,1,4.75,1
40000,29355,48885,23.5293817066939,27.8659097882786,1,5,5
40000,52140,55605,20.349252013809,36.0202319935258,3,4.25,6
40000,94050,46275,35.1594896331738,33.3273905996759,3,4.25,5
40000,99000,72150,26.5833333333333,36.9230769230769,9,1,9
40000,62415,53700,26.4645517904349,37.9469273743017,2.5,4.25,4
40000,95115,45750,25.1078694212269,20.8393442622951,4.5,3.5,4
40000,53475,54090,23.1907433380084,35.4559068219634,1,4.75,3
40000,48150,43230,10.7757009345794,34.1054823039556,3,4.25,5
40000,28500,51570,18.4263157894737,42.2524723676556,3,4.25,2
40000,51225,69150,33.0937042459737,41.0845986984816,8,5.5,1
40000,44865,54630,33.3764627214978,42.2932454695223,2,4.5,2
40000,39195,72990,20.3517030233448,32.0250719276613,1,4.25,4
42000,51060,44835,22.3678025851939,30.5001672800268,4,3.25,3
42000,27900,48660,21.4623655913978,48.0086313193588,6,1.25,9
43000,33315,47730,19.7879333633498,38.7624135763671,5,3.75,NA
44000,139785,41325,21.5049898057732,38.2558983666062,3,5.5,5
44000,71595,78615,29.6834276136602,30.4634611715321,3,4.75,5
45000,44895,64800,13.6782492482459,41.3194444444444,6.5,4.5,3
45000,65550,108915,23.5858123569794,30.2546481200936,5,2.75,6
45000,38295,73500,35.0485703094399,24.2632653061224,1,5.25,1
45000,50100,65175,16.311377245509,35.9298043728424,2,4.5,3
45000,38100,29865,22.2716535433071,24.4344550477147,1,4.5,5
45000,33825,46875,22.2328159645233,41.1664,1,6,1
45000,41535,60975,17.9577464788732,44.8154981549816,2.5,4,4
45000,30105,68100,29.6995515695067,37.0330396475771,1,5.75,3
45900,30045,64245,30.7983025461807,37.6766285314032,1,5.25,2
46000,12000,42525,2,56.5414462081129,1,5.25,2
47000,39000,64425,22.9307692307692,33.372526193248,2.5,4.5,2
48000,88440,41685,40.9165535956581,41.541921554516,3,5.25,7
48000,49785,68910,23.2946670683941,35.6639094471049,1,3.5,7
48000,33300,31125,11.7207207207207,36.6578313253012,2,5,2
49000,54300,86730,5.18232044198896,28.7810446212383,4,3,7
50000,67890,56790,35.1997348652231,51.6069730586371,6.5,3,3
50000,51855,50775,30.7512293896442,23.1122599704579,5.5,3.25,6
50000,76200,90315,18.4763779527559,32.645573824946,3,3,5
50000,23355,39150,30.0044958253051,48.3563218390804,1,4.75,5
50000,74040,75840,14.3910048622366,42.5996835443038,6.5,2.5,7
50000,74145,64380,39.7489378919684,40.2054986020503,2.5,5.25,5
50000,31980,15360,41.984990619137,16.875,3,3.5,7
50000,111750,84600,21.5302013422819,33.5514184397163,8,1.5,8
50000,47850,66540,15.6771159874608,31.7479711451758,1,4.75,5
50000,60015,65025,40.5846038490377,33.3598615916955,4.5,3.75,3
50000,16200,14520,17.5555555555556,15.1900826446281,4,3.25,3
50000,75300,60300,39.4123505976096,37.7810945273632,3,4.5,3
51000,51675,64065,29.4702467343977,32.7438538983844,3,3.75,6
51000,46500,57375,25.8709677419355,38.2156862745098,3,5,1
52000,55800,52425,33.5537634408602,38.5078683834048,3,3.75,3
55000,57345,42660,23.5754642950562,34.5675105485232,1.5,4.75,3
55000,59370,78585,13.4269833249116,34.6220652796335,5,3.75,6
55000,91500,57705,29.0491803278688,42.1307512347284,2,5.25,2
56000,40650,20850,9.59409594095942,24.2374100719424,5,4,2
56000,58500,69960,17.2564102564102,36.2349914236706,5,4.75,5
58000,60870,60630,25.580088713652,33.5111331024246,3,4.25,2
58000,49800,76845,24.0301204819277,37.6535233261761,9,2.25,5
59000,42000,51915,28.7392857142857,36.4776076278532,3,3,6
59000,55725,60390,18.114401076716,30.1127670144063,3,5,5
60000,59850,67080,17.7418546365915,35.0161001788909,5,2.5,7
60000,79950,41955,12.3208255159474,30.9249195566679,2,5,1
60000,51645,58530,25.5820505373221,39.1855458739108,8.5,2.25,1
60000,58560,63705,36.9544057377049,34.5719331292677,9,1,6
60000,36960,82485,25.588474025974,34.5453718857974,5,4,3
60000,98460,63330,23.2982937233394,33.6740881099006,1,5,2
60000,62550,87975,18.8057553956835,23.5507246376812,4.5,3,7
60000,62145,48420,16.6615978759353,38.2602230483271,7,2.75,5
61000,55980,59895,33.9501607717042,35.1412471825695,3,4.25,3
62000,51975,53745,30.8730158730159,36.3519397153224,1.5,5,1
62000,46350,58500,14.7669902912621,32.6333333333333,5,3.25,4
63000,56625,59055,31.7523178807947,40.9847599695199,3.5,3.25,6
63000,62250,52935,13.5879518072289,32.4978747520544,4.5,3.5,3
63000,51750,17565,36.4782608695652,16.8906917164817,5,3.5,9
65000,48345,56325,11.7620229599752,41.7083888149134,5,3.5,7
65000,68715,59400,35.4920323073565,40.9621212121212,8,2.25,1
65000,72300,68625,10.0373443983403,15.64043715847,4,3.5,6
65000,42000,66975,24.5,40.6976483762598,3.5,3.75,7
68000,58455,59400,26.6453682319733,29.6388888888889,5,3.5,5
70000,68325,78075,38.3721185510428,35.030739673391,4,4.75,7
70000,77925,110715,20.0779595765159,28.0854897710337,5,4.25,7
70000,75300,66825,18.7250996015936,35.1301907968574,4,4,3
70000,71250,68775,12.9073684210527,33.6521264994547,7,2,7
71000,118635,61770,26.7043874067518,39.0781932977173,1,6,2
71000,68550,62850,14.3041575492341,28.0859188544153,5,3.5,3
72000,50850,58350,21.0176991150443,30.7557840616967,1,4.75,1
73000,61275,45180,19.2227662178702,33.832005312085,3,2.5,7
73000,72060,67800,31.996253122398,35.0442477876106,7,2.75,NA
74000,50100,40095,21.8622754491018,36.3258511036289,5,1,5
74000,52125,61950,23.7338129496403,42.6077481840194,6,1.75,9
74000,45930,65505,20.4056172436316,40.4389741241127,3.5,4.25,4
75000,60000,44550,8.25,34.3232323232323,1,4.5,1
75000,50535,61950,20.9869397447314,33.002421307506,1,4.75,2
75000,67215,64890,23.4766793126534,34.0924641701341,8,2,8
75000,52050,53595,36.8530259365994,31.9952420934789,3,5,2
75000,48150,67320,28.1931464174455,32.7326203208556,2,3.75,2
75000,34365,49620,28.2710606721956,40.6874244256348,4.5,5,5
75000,25560,30705,26.9014084507042,41.390815828041,4.5,3,4
76000,61680,61920,28.2568093385214,37.9394379844961,2.5,5,2
76000,39000,60525,6.96923076923076,37.002478314746,3.5,4.75,3
77000,73170,79020,14.8573185731858,24.2167805618831,5,2.5,8
78000,47070,73605,30.4633524537922,42.3674342775627,7.5,2,3
78000,107325,62670,11.8958770090845,35.4174246050742,3,4.75,4
78000,49500,49800,20.4424242424243,34.4759036144578,3,3.5,7
80000,51000,47235,23.1235294117647,28.6487773896475,3,3.25,7
80000,70875,68220,20.0095238095238,36.5773966578716,8.5,2.25,5
80000,22350,60150,22.6040268456376,30.6832917705736,6.5,3.5,9
80000,48000,52245,14.8125,25.7131782945736,2,4.25,4
80000,31995,57000,43.1500234411627,51.2605263157895,1,4.75,2
81000,52500,52665,42.8828571428571,49.3731130731985,6,2.75,8
82000,90270,61065,27.4582917912928,31.8469663473348,7,3.5,7
85000,79950,68925,49.9774859287054,48.9782372143635,4,2,6
85000,70725,68235,30.117709437964,31.5355023081996,8,3,7
85000,95550,87600,12.5792778649921,24.5787671232877,9,1.25,8
85000,70200,69735,19.9444444444445,31.3346956334696,6.5,2.25,8
85000,49005,80055,33.0906029996939,41.8338017612891,2.5,4,3
85000,60045,72375,24.3315013739695,41.099481865285,5,1.75,7
86000,60870,86985,23.3178905864958,29.1714088635972,3,4.5,2
88100,56940,57195,24.8877766069547,30.6527668502492,4,3.25,6
89000,62055,50025,26.2985255015712,30.0584707646177,7,2.25,9
90000,36720,43875,41.0269607843137,42.6136752136752,6.5,2.5,7
90000,33420,50475,30.0287253141831,51.5081723625557,3,4.5,5
90000,90000,67275,9.5,34.5696767001115,5.5,3.25,4
90000,74445,62130,19.6492041104171,39.1941091260261,3,3.5,3
90000,59535,59415,10.2154195011338,40.7192628124211,4.5,2.25,6
90000,87750,65340,13.851282051282,42.1955922865014,2,5,7
90000,67545,44040,23.2176326893182,28.4209809264305,3,4.5,4
90000,64515,67605,35.6472913275982,39.7574883514533,5,3.75,5
98000,64215,69795,21.027563653352,38.6952503761014,3,3.25,7
1e+05,97365,60690,20.8625789554768,35.5126050420168,1,2,8
1e+05,57900,47295,34.6217616580311,41.3190612115446,1.5,4.75,2
1e+05,53175,51615,28.5768688293371,42.8070328392909,3,4.25,3
1e+05,52050,73080,28.7435158501441,30.5710180623974,3.5,4.25,4
1e+05,91350,73125,33.8752052545156,41.2748717948718,5,3,8
104000,110250,74760,13.9619047619048,30.5918940609952,5,3.75,2
109000,90000,40365,6.16666666666666,33.5039018952063,3,3.25,7
