extraversion,happiness,social_engagement
66,68,72
69,78,85
56,70,63
91,88,104
97,90,100
47,63,56
28,60,32
63,65,73
72,75,93
72,83,75
69,93,86
63,60,72
41,50,47
31,58,40
66,73,80
59,90,67
47,50,51
59,75,71
91,75,103
56,58,76
75,58,86
97,85,106
66,75,81
91,83,101
50,68,60
34,58,47
72,75,91
50,65,63
47,70,53
78,83,85
53,65,53
84,85,96
47,73,67
41,50,50
63,65,76
63,85,74
75,73,93
66,88,78
44,73,61
47,63,63
53,75,62
53,35,62
44,73,50
56,60,62
69,70,71
53,63,73
88,85,103
84,93,95
59,75,80
34,63,42
66,63,78
94,78,114
75,73,79
56,80,61
44,78,49
25,65,29
44,65,59
44,55,52
69,75,72
53,78,64
59,53,57
66,78,78
34,68,39
63,73,72
72,78,83
59,58,74
81,90,100
69,75,78
41,43,52
22,60,34
44,63,57
38,80,49
81,78,82
53,75,67
56,70,63
81,88,91
44,65,52
78,63,89
56,65,64
50,63,64
50,60,63
75,63,89
56,65,69
78,70,87
63,90,74
13,45,20
81,78,96
63,73,69
22,43,30
66,70,82
63,85,76
50,60,70
50,70,59
47,58,53
38,58,43
47,50,59
75,70,82
41,70,58
53,65,57
53,100,56
50,53,58
53,75,69
44,60,57
50,65,56
66,65,79
47,50,54
84,73,92
53,75,68
41,53,51
72,78,80
69,53,75
81,75,91
44,73,56
56,73,59
56,68,63
69,85,72
59,70,65
71,90,84
38,68,44
50,73,54
56,65,70
63,75,85
81,80,87
41,55,43
63,55,75
69,68,81
75,70,89
72,75,80
75,81,92
78,78,85
81,98,84
84,78,94
88,75,102
56,53,65
34,63,45
41,68,56
69,78,81
75,75,82
69,73,77
28,78,32
59,75,67
75,60,96
50,48,63
44,70,48
56,68,58
47,68,63
66,50,73
