id,conspiracy,delusions,paranoia,uniqueness,control
1,2.933333333,2.761904762,2.95,2.875,3.2
2,3.666666667,2.80952381,3.2,2.90625,3.6
3,1.333333333,1.428571429,1.6,3.5,3.85
4,2.933333333,3.285714286,3.85,2.90625,3.1
5,3.133333333,2.476190476,2.75,2.90625,3.4
6,1.533333333,2.619047619,3.1,3.3125,3.1
7,3.666666667,3.047619048,3,3.03125,4
8,3.266666667,2.523809524,2,3,3.05
9,1,1.952380952,2.9,2.59375,3.1
10,2.066666667,2.142857143,2.7,3,3.75
11,1.933333333,2.80952381,3,1.9375,2.6
12,3.333333333,2.523809524,3,3.34375,3.65
13,3.466666667,3.428571429,3.6,3.75,3.3
14,1.466666667,1.333333333,1.65,3.03125,3.8
15,3,3.238095238,2.8,3.40625,3.35
16,1.333333333,2.666666667,2.75,3.40625,3.85
17,3.6,3.142857143,2.75,3.21875,3.3
18,3.6,2.761904762,2.9,3.3125,4.15
19,1.733333333,2.095238095,2.4,3.71875,4
20,1.533333333,2.285714286,2.15,3.03125,3.9
21,2.133333333,2.19047619,2.5,2.8125,3.25
22,2.533333333,2.285714286,2.5,3.4375,3.85
23,1.6,2.714285714,2.85,3.40625,3.4
24,4.8,3.095238095,3.65,3.3125,3.8
25,2.933333333,2.380952381,2.9,2.59375,3
26,3,2.285714286,3,3.21875,3.3
27,5,2.571428571,3.55,3.4375,3.85
28,2.4,2.714285714,2.55,2.59375,3.45
29,2.066666667,2.380952381,2.7,3.0625,3.4
30,2.533333333,3.047619048,3.3,2.90625,3.7
31,2.266666667,2.238095238,2.45,2.75,3.3
32,2.666666667,2.380952381,2.6,3.40625,3.45
33,3,2.285714286,3,3.15625,3.75
34,3.4,2.904761905,2.6,2.46875,3.3
35,2.133333333,2.142857143,3.25,3.09375,3.95
36,2.8,3.476190476,3.55,3.53125,4.1
37,1.2,1.952380952,1.95,2.46875,3
38,3.4,3.095238095,2.85,2.9375,3.5
39,1.8,2.952380952,2.8,3.1875,3.2
40,2.2,1.857142857,2.35,2.53125,3.2
41,2.666666667,2.428571429,3.15,2.875,3.55
42,3.133333333,3.142857143,3.1,2.59375,3.4
43,3.2,1.904761905,1.7,3.9375,3.6
44,2.733333333,3.238095238,3.1,2.9375,3
45,2.2,2.666666667,2.75,2.53125,3.5
46,3.266666667,2.619047619,2.85,3.25,3.45
47,2.666666667,3.047619048,2.7,2.40625,2.55
48,3,2.095238095,1.7,2.4375,3.35
49,2.8,3.523809524,2.6,3.03125,3.45
50,3,2.571428571,2.9,2.6875,3.35
51,3,3.714285714,3.6,3.0625,3.65
52,2.866666667,2.428571429,2.95,2.71875,3.4
53,3.133333333,3.238095238,2.7,3.21875,3.2
54,2.933333333,2.904761905,3.65,2.96875,3.55
55,2.533333333,2.952380952,3.6,2.71875,3.05
56,2.2,1.80952381,2,3.125,3.6
57,2.866666667,2.80952381,3.25,2.96875,3.4
58,1.466666667,2,1.4,3.03125,3.1
59,3.266666667,3.857142857,3.8,3.28125,3.9
60,2.6,2,2.1,2.9375,3.2
61,1.933333333,3.428571429,3.5,2.40625,2.85
62,2.266666667,1.952380952,2.2,3.15625,3.35
63,3.266666667,2.285714286,2.75,2.90625,3
64,2.6,2.523809524,2.55,2.71875,2.85
65,3.266666667,2.333333333,2.9,3.15625,3.35
66,3.266666667,3.095238095,2.75,3.03125,3.45
67,2.333333333,3.142857143,3.25,2.78125,3.3
68,3.533333333,3.095238095,3.15,2.53125,3.1
69,2.733333333,3.380952381,3.5,3.09375,3.65
70,3.4,2.095238095,2.5,2.84375,3.35
71,3.533333333,3.428571429,3.1,2.71875,3.35
72,3,3.285714286,3.4,2.90625,3.4
73,3.266666667,3.047619048,2.9,2.375,3.05
74,4.266666667,3.095238095,3.55,2.78125,3.5
