id,extraversion,happiness
1,66,68.44908975
2,69,78.10721227
3,56,79.77801191
4,91,88.05082729
5,97,90.61513498
6,47,63.17075719
7,28,61.97694796
8,63,65.07983555
9,72,75.58895786
10,72,85.25831345
11,69,95.15146877
12,63,60.92473179
13,41,52.32284402
14,31,58.92079949
15,66,76.92815594
16,59,90.44903763
17,47,50.56325018
18,59,75.17206303
19,91,75.26535568
20,56,58.79194957
21,75,58.68390546
22,97,85.05835154
23,66,75.34888417
24,91,83.0714788
25,50,68.58288815
26,34,58.51905066
27,72,75.26329013
28,50,65.31891209
29,47,70.09601967
30,78,83.0436283
31,53,65.39741883
32,84,85.01783694
33,47,77.16586077
34,41,50.05996104
35,63,98.5165603
36,63,85.24070601
37,75,73.50439086
38,66,100.1928467
39,44,90.48755616
40,47,78.08339476
41,53,75.4554491
42,53,35.37928375
43,44,104.3765006
44,56,96.16813137
45,69,81.04901838
46,53,69.19349814
47,88,88.23069449
48,84,100.7907829
49,59,75.72227402
50,34,110.7247692
51,66,64.21878594
52,94,81.14949416
53,75,73.06608821
54,56,102.1931347
55,44,78.30140274
56,25,66.07584395
57,44,72.52893162
58,44,55.32789788
59,69,84.65786488
60,53,78.36940418
61,59,54.3889651
62,66,82.15075075
63,34,72.88620672
64,63,74.65445401
65,72,85.48818425
66,59,58.25258934
67,81,92.78810056
68,69,94.07351875
69,41,46.41807826
70,22,66.69690514
71,44,65.07668183
72,38,80.07174352
73,81,79.18645113
74,53,82.73161835
75,56,71.10910901
76,81,101.3489553
77,44,74.36949397
78,78,64.84016163
79,56,65.22194754
80,50,64.25170531
81,50,60.16579383
82,75,65.40944968
83,56,65.16398543
84,78,70.26316335
85,63,91.9274675
86,13,45.49031635
87,81,78.02410595
88,63,74.80773762
89,22,44.21503179
90,66,95.47186729
91,63,85.36501752
92,50,60.19758809
93,50,71.10417312
94,47,62.21427686
95,38,59.72765583
96,47,50.47501547
97,75,70.01530882
98,41,73.3910667
99,53,68.22310892
100,53,100.0499622
101,50,197.7621311
102,53,75.6836898
103,44,60.40500727
104,50,65.64205269
105,66,131.7496448
106,47,56.56916474
107,84,76.18864162
108,53,75.24770024
109,41,56.92895352
110,72,78.5146897
111,69,53.32903647
112,81,80.23820275
113,44,73.39031545
114,56,73.44348752
115,56,69.37931264
116,69,85.45467391
117,59,70.11776822
118,71,92.43242772
119,38,68.48887671
120,50,76.13356377
121,56,69.29474574
122,63,76.6879883
123,81,83.28729534
124,41,55.17356693
125,63,56.33696465
126,69,78.09718462
127,75,71.72122585
128,72,76.05862972
129,75,81.23749185
130,78,79.13217889
131,81,101.9263143
132,84,78.15122587
133,88,77.14300995
134,56,57.42889893
135,34,68.24573684
136,41,68.85683789
137,69,78.4217906
138,75,75.3624723
139,69,80.45667857
140,28,78.38893529
141,59,88.93215495
142,75,60.25283199
143,50,48.44268065
144,44,72.28884761
145,56,68.08801911
146,47,68.13735419
147,66,50.14784835
