id,Extraversion,Happiness
1,66,68
2,69,78
3,56,70
4,91,88
5,97,90
6,47,63
7,28,60
8,63,65
9,72,75
10,72,83
11,69,93
12,63,60
13,41,50
14,31,58
15,66,73
16,59,90
17,47,50
18,59,75
19,91,75
20,56,58
21,75,58
22,97,85
23,66,75
24,91,83
25,50,68
26,34,58
27,72,75
28,50,65
29,47,70
30,78,83
31,53,65
32,84,85
33,47,73
34,41,50
35,63,65
36,63,85
37,75,73
38,66,88
39,44,73
40,47,63
41,53,75
42,53,35
43,44,73
44,56,60
45,69,70
46,53,63
47,88,85
48,84,93
49,59,75
50,34,63
51,66,63
52,94,78
53,75,73
54,56,80
55,44,78
56,25,65
57,44,65
58,44,55
59,69,75
60,53,78
61,59,53
62,66,78
63,34,68
64,63,73
65,72,78
66,59,58
67,81,90
68,69,75
69,41,43
70,22,60
71,44,63
72,38,80
73,81,78
74,53,75
75,56,70
76,81,88
77,44,65
78,78,63
79,56,65
80,50,63
81,50,60
82,75,63
83,56,65
84,78,70
85,63,90
86,13,45
87,81,78
88,63,73
89,22,43
90,66,70
91,63,85
92,50,60
93,50,70
94,47,58
95,38,58
96,47,50
97,75,70
98,41,70
99,53,65
100,53,100
101,50,53
102,53,75
103,44,60
104,50,65
105,66,65
106,47,50
107,84,73
108,53,75
109,41,53
110,72,78
111,69,53
112,81,75
113,44,73
114,56,73
115,56,68
116,69,85
117,59,70
118,71,90
119,38,68
120,50,73
121,56,65
122,63,75
123,81,80
124,41,55
125,63,55
126,69,68
127,75,70
128,72,75
129,75,81
130,78,78
131,81,98
132,84,78
133,88,75
134,56,53
135,34,63
136,41,68
137,69,78
138,75,75
139,69,73
140,28,78
141,59,75
142,75,60
143,50,48
144,44,70
145,56,68
146,47,68
147,66,50
