"socsup"	"suppression"	"indiv"
"1"	5	1	5
"2"	2	4	4
"3"	4	1	5
"4"	3	2	4
"5"	5	1	4
"6"	3	4	5
"7"	1	5	3
"8"	3	3	5
"9"	1	4	3
"10"	4	1	4
"11"	5	2	5
"12"	2	5	2
"13"	3	4	4
"14"	4	2	5
"15"	4	2	3
"16"	5	2	4
"17"	2	5	5
"18"	1	5	4
"19"	2	4	4
"20"	3	2	3
"21"	1	4	1
"22"	4	3	4
"23"	3	3	5
"24"	4	3	5
"25"	1	3	3
"26"	5	4	3
"27"	2	5	3
"28"	2	3	2
"29"	1	2	3
"30"	2	2	3
"31"	4	1	2
"32"	3	2	2
"33"	3	3	3
"34"	4	4	3
"35"	3	4	3
"36"	1	1	4
"37"	2	1	3
"38"	4	3	2
"39"	2	4	4
"40"	5	3	2
"41"	3	5	3
"42"	3	1	3
"43"	5	2	2
"44"	5	1	4
"45"	1	4	2
"46"	4	5	4
"47"	3	5	4
"48"	4	2	4
"49"	1	1	1
"50"	4	4	4
"51"	4	3	2
"52"	3	4	2
"53"	1	2	1
"54"	3	2	3
"55"	2	3	2
"56"	3	3	2
"57"	5	4	3
"58"	4	5	1
"59"	5	5	1
"60"	5	5	1
"61"	1	2	2
"62"	4	4	1
"63"	2	2	4
"64"	3	4	1
"65"	2	1	3
"66"	3	2	3
"67"	2	3	1
"68"	2	2	1
"69"	2	1	1
"70"	4	5	3
"71"	4	3	1
"72"	3	3	2
